air_durations_A,air_durations_B,air_durations_C,air_durations_D,asc_peak_slopes_A,asc_peak_slopes_B,asc_peak_slopes_C,asc_peak_slopes_D,avg_pres_A,avg_pres_B,avg_pres_C,avg_pres_D,contact_durations_A,contact_durations_B,contact_durations_C,contact_durations_D,des_peak_slopes_A,des_peak_slopes_B,des_peak_slopes_C,des_peak_slopes_D,dog_id,pace,paw_area_cm2_A,paw_area_cm2_B,paw_area_cm2_C,paw_area_cm2_D,peak_pressure_A,peak_pressure_B,peak_pressure_C,peak_pressure_D,ratio_pres2area_A,ratio_pres2area_B,ratio_pres2area_C,ratio_pres2area_D,step_lengths_A,step_lengths_B,step_lengths_C,step_lengths_D
0.2,0.198,0.2,0.19,0.929,0.941,0.794,0.847,3.759,3.746,2.811,3.074,0.125,0.115,0.13,0.13,1.196,1.151,0.904,0.698,T0000007,6.09,19.508,19.748,15.519,13.959,13.6,14.1,9.95,9.65,0.16,0.172,0.208,0.17,0.645,0.683,0.688,0.661
0.21,0.19,0.2,0.192,0.81,0.938,0.746,0.76,3.258,3.262,3.284,3.087,0.138,0.13,0.14,0.125,1.032,0.921,0.96,1.027,T0000007,5.67,16.088,14.037,17.17,15.028,12.25,11.5,12.55,11.0,0.197,0.153,0.189,0.165,0.639,0.618,0.653,0.633
0.195,0.19,0.202,0.205,0.666,0.789,0.899,0.809,2.835,3.2,3.746,3.152,0.14,0.135,0.13,0.14,0.81,1.002,1.072,1.127,T0000007,5.43,13.519,16.994,15.173,16.084,9.4,12.0,14.1,12.0,0.179,0.177,0.173,0.196,0.678,0.598,0.633,0.551
0.185,0.19,0.202,0.195,0.722,0.808,0.904,0.74,3.062,3.175,3.71,2.995,0.143,0.14,0.135,0.135,0.901,0.861,0.941,0.782,T0000007,5.49,13.074,14.973,17.394,13.823,10.75,11.0,12.5,10.45,0.18,0.254,0.233,0.248,0.585,0.578,0.584,0.569
0.245,0.275,0.235,0.225,0.712,0.551,0.867,0.456,4.104,3.762,3.298,3.852,0.29,0.202,0.167,0.358,1.955,1.053,1.212,1.198,T0000008,4.41,29.6,26.463,19.644,23.798,27.75,13.7,15.65,18.5,0.141,0.144,0.144,0.176,0.784,0.852,0.842,0.789
0.245,0.235,0.24,0.238,0.982,1.079,1.088,1.019,3.376,3.586,4.48,3.356,0.143,0.15,0.155,0.15,1.377,1.277,1.326,1.153,T0000009,5.39,15.064,14.573,17.598,14.643,14.25,15.3,18.9,14.5,0.188,0.212,0.221,0.429,0.712,0.693,0.779,0.657
0.24,0.24,0.245,0.242,0.934,0.963,0.91,0.918,3.227,3.6,3.672,4.34,0.16,0.165,0.165,0.175,1.1,1.185,1.198,1.199,T0000009,5.01,14.923,16.425,14.994,17.242,15.5,17.35,16.35,19.2,0.255,0.241,0.227,0.268,0.504,1.025,0.331,0.68
0.232,0.24,0.24,0.235,0.844,0.979,0.863,0.791,3.181,3.754,2.954,3.84,0.17,0.165,0.175,0.175,1.304,1.398,1.009,1.018,T0000009,4.57,14.55,15.028,14.182,14.425,15.0,17.6,12.4,15.0,0.225,0.678,0.175,0.382,0.434,0.873,0.58,0.635
0.24,0.248,0.24,0.24,0.89,0.869,0.854,0.928,3.66,4.477,3.452,3.516,0.152,0.175,0.167,0.165,1.195,1.324,1.37,1.409,T0000009,4.77,13.625,15.916,15.994,14.671,14.5,16.6,17.6,18.1,0.259,0.178,0.211,0.289,0.585,0.644,0.638,0.618
0.245,0.248,0.238,0.235,0.999,0.757,0.891,0.866,4.234,2.855,3.632,4.049,0.165,0.165,0.165,0.175,1.512,0.989,1.239,1.125,T0000009,4.47,14.906,13.518,14.824,17.042,21.8,11.9,16.1,18.1,0.293,0.235,0.202,0.216,0.567,0.589,0.606,0.591
0.23,0.245,0.235,0.25,0.923,0.892,0.826,0.845,4.298,3.454,4.209,3.687,0.185,0.16,0.185,0.18,1.302,0.995,0.873,1.091,T0000009,4.61,16.447,14.427,15.484,15.312,20.45,15.0,16.6,15.0,0.279,0.195,0.219,0.178,0.652,0.572,0.471,0.723
0.258,0.26,0.268,0.27,0.732,0.878,0.872,0.901,3.943,3.713,3.48,3.735,0.19,0.21,0.175,0.198,0.863,0.884,0.854,0.897,T0000010,6.1,22.569,27.607,23.014,26.806,18.2,18.2,16.7,16.95,0.678,0.161,0.306,0.123,0.911,0.483,0.688,1.445
0.26,0.258,0.265,0.272,0.824,0.855,0.765,0.741,3.782,3.745,3.705,3.879,0.218,0.185,0.202,0.235,0.786,0.767,1.019,1.011,T0000010,5.87,26.05,25.541,26.271,29.453,17.2,14.6,17.5,19.3,0.13,0.156,0.155,0.13,0.975,0.995,0.492,1.0
0.27,0.305,0.32,0.262,0.845,0.739,0.876,0.581,4.071,3.592,3.822,3.779,0.25,0.185,0.218,0.25,0.92,0.601,0.785,0.898,T0000010,5.6,29.218,22.495,26.401,27.945,20.85,14.85,17.45,18.8,0.134,0.557,0.156,0.144,1.435,0.978,0.957,0.947
0.278,0.275,0.28,0.27,0.825,0.947,0.918,0.844,3.713,3.876,3.51,3.744,0.24,0.222,0.23,0.262,0.791,1.08,0.763,0.886,T0000010,5.55,22.695,26.912,25.657,28.4,17.2,21.9,19.0,19.8,0.206,0.165,0.174,0.13,0.762,1.424,0.545,1.431
0.277,0.315,0.268,0.275,0.77,0.903,0.658,0.681,3.673,3.784,3.785,4.072,0.195,0.208,0.235,0.24,0.84,0.894,1.141,1.026,T0000010,5.72,24.398,23.422,25.799,27.804,17.7,17.45,21.4,20.6,0.129,0.162,0.158,0.124,1.254,1.076,1.027,1.457
0.288,0.265,0.275,0.28,0.884,0.868,0.977,0.906,3.802,3.952,3.88,3.816,0.18,0.23,0.205,0.21,0.939,0.84,1.041,1.087,T0000010,5.88,24.204,30.487,23.991,28.56,19.3,18.0,21.4,19.8,0.128,0.13,0.184,0.119,0.786,1.052,0.718,1.504
0.25,0.265,0.265,0.265,0.869,0.869,0.936,0.755,4.024,3.997,3.672,4.474,0.202,0.232,0.19,0.22,0.938,1.234,0.935,1.318,T0000011,6.38,24.007,26.479,26.942,25.827,16.95,22.65,16.2,23.25,0.157,0.129,0.133,0.121,1.118,1.16,1.402,1.144
0.285,0.285,0.275,0.27,0.941,0.923,0.728,1.098,3.892,3.848,3.77,4.622,0.2,0.2,0.21,0.212,1.323,1.503,0.766,1.686,T0000011,6.76,25.154,25.739,23.678,28.38,22.4,18.3,18.25,27.65,0.326,0.158,0.141,0.196,1.137,1.462,1.17,1.178
0.258,0.28,0.28,0.272,0.875,0.888,0.874,0.79,3.776,4.613,3.938,4.031,0.225,0.23,0.205,0.21,0.785,1.147,1.051,1.206,T0000011,6.04,22.863,29.034,24.089,26.044,18.3,23.75,17.45,17.7,0.136,0.169,0.139,0.154,1.14,1.144,1.084,1.417
0.285,0.285,0.28,0.285,0.816,0.969,0.958,0.827,3.974,4.064,3.809,4.066,0.212,0.208,0.195,0.202,1.101,0.947,1.296,1.06,T0000011,6.13,24.741,25.087,24.577,27.642,19.55,18.25,22.95,20.6,0.155,0.335,0.174,0.149,1.064,1.264,1.152,1.087
0.285,0.292,0.29,0.282,0.809,1.094,0.685,1.292,3.796,4.894,3.802,4.816,0.195,0.18,0.2,0.195,1.049,1.691,0.943,1.706,T0000011,7.01,25.035,30.766,21.657,32.272,19.3,23.0,17.2,28.7,0.147,0.156,0.153,0.145,1.334,1.3,1.328,1.3
0.288,0.288,0.298,0.292,1.159,1.052,1.029,1.098,4.1,3.869,3.685,4.424,0.18,0.195,0.195,0.19,1.161,1.231,0.889,1.646,T0000011,7.27,27.578,28.273,24.78,30.934,24.5,20.3,15.1,26.1,0.173,0.155,0.147,0.156,1.064,1.629,1.39,1.289
0.255,0.245,0.255,0.265,0.736,0.737,0.851,0.807,3.871,4.267,4.068,4.758,0.2,0.205,0.202,0.205,0.847,0.956,1.021,0.993,T0000012,5.34,16.969,17.95,17.482,18.765,16.0,17.5,18.6,18.9,0.224,0.216,0.217,0.227,0.694,1.288,0.487,0.913
0.22,0.318,0.22,0.262,0.731,0.831,0.631,0.837,3.808,3.972,3.777,3.892,0.208,0.215,0.205,0.2,0.815,1.071,0.739,1.034,T0000012,5.15,16.145,18.544,16.606,19.182,14.3,17.8,13.2,19.5,0.271,0.284,0.274,0.229,0.789,0.903,0.75,0.874
0.23,0.22,0.25,0.24,0.695,0.703,0.755,0.724,4.176,4.317,3.729,3.926,0.22,0.23,0.205,0.225,1.073,1.432,0.593,0.695,T0000012,5.4,18.094,19.118,15.372,17.113,19.5,21.2,13.2,15.75,0.233,0.218,0.227,0.203,0.805,0.822,0.872,0.872
0.25,0.245,0.26,0.288,1.286,0.831,0.749,0.834,4.465,3.745,3.719,4.805,0.222,0.205,0.21,0.205,0.824,0.87,0.956,1.513,T0000012,4.99,17.898,18.309,17.377,21.212,20.05,16.0,14.9,21.8,0.242,0.24,0.201,0.232,0.664,0.641,0.874,0.962
0.27,0.25,0.265,0.24,0.796,0.801,0.852,0.825,3.904,4.351,4.735,4.538,0.205,0.212,0.215,0.225,0.684,0.916,1.052,0.871,T0000012,5.1,16.582,17.097,20.07,17.384,16.6,19.2,20.0,19.75,0.249,0.22,0.233,0.218,0.852,1.245,0.848,0.772
0.268,0.245,0.27,0.26,0.905,0.793,0.919,0.864,3.731,4.22,3.412,4.187,0.17,0.188,0.17,0.185,0.931,0.944,1.002,0.885,T0000013,5.5,15.033,18.387,14.106,19.193,16.3,16.6,16.3,15.7,0.25,0.211,0.224,0.213,0.978,0.836,0.814,0.655
0.268,0.275,0.28,0.272,0.892,0.737,0.876,0.617,4.279,3.635,3.623,4.086,0.185,0.185,0.185,0.195,0.906,1.086,0.878,0.918,T0000013,5.13,18.248,17.234,14.259,16.58,16.9,18.0,16.3,15.2,0.224,0.277,0.26,0.205,0.812,0.72,0.626,0.818
0.258,0.255,0.275,0.275,0.743,0.851,0.799,0.831,3.981,4.261,3.467,3.449,0.2,0.2,0.19,0.18,0.947,1.051,0.769,0.871,T0000013,4.95,19.381,17.597,14.279,14.631,15.7,19.7,15.7,15.7,0.192,0.242,0.244,0.223,0.776,0.792,0.788,0.784
0.285,0.29,0.285,0.29,0.69,0.856,0.882,0.904,4.12,4.246,3.944,3.464,0.2,0.185,0.178,0.185,0.949,1.15,0.988,0.916,T0000013,5.3,19.086,19.923,14.628,14.209,17.4,19.7,17.1,16.3,0.236,0.24,0.239,0.266,1.228,0.967,0.899,0.656
0.262,0.262,0.268,0.28,0.825,0.815,0.842,0.865,4.047,4.252,3.812,3.498,0.195,0.2,0.185,0.2,0.95,0.965,0.954,0.888,T0000013,5.32,16.021,17.959,14.997,15.457,16.3,15.7,16.3,16.3,0.206,0.246,0.201,0.237,0.818,0.838,0.821,0.626
0.29,0.285,0.28,0.29,0.815,0.737,0.87,0.922,3.884,4.121,4.066,3.964,0.185,0.2,0.172,0.178,1.086,0.97,1.063,1.012,T0000013,5.34,17.412,16.686,16.068,16.892,16.9,17.4,16.85,16.85,0.263,0.26,0.275,0.206,0.912,0.838,0.449,0.48
0.445,0.24,0.455,0.362,0.77,1.333,0.741,0.768,3.693,3.511,4.098,3.301,0.425,0.42,0.225,0.24,0.273,0.339,0.701,0.48,T0000014,6.52,27.115,27.993,29.66,22.968,16.95,22.85,17.7,15.2,0.143,0.127,0.128,0.127,2.126,1.61,1.839,1.312
0.19,0.215,0.215,0.205,0.701,0.828,0.9,5.621,3.972,3.033,4.126,3.46,0.18,0.17,0.165,0.165,1.325,0.565,1.647,0.688,T0000014,7.83,31.398,22.824,34.389,24.6,15.7,12.05,16.45,13.5,0.113,0.131,0.126,0.116,1.078,1.094,1.119,1.101
0.34,0.24,0.252,0.265,0.888,0.845,0.761,0.843,4.082,3.168,3.499,4.002,0.195,0.39,0.175,0.208,0.798,0.329,0.835,1.035,T0000014,6.5,27.645,25.788,23.368,28.042,16.7,18.7,13.3,18.7,0.146,0.123,0.133,0.161,1.14,1.311,1.372,1.17
0.24,0.25,0.23,0.222,0.709,0.571,0.628,0.611,3.26,3.378,3.905,3.965,0.232,0.195,0.227,0.21,0.534,0.712,0.782,0.863,T0000014,6.27,25.624,23.528,29.586,30.468,14.25,12.3,14.5,15.2,0.14,0.137,0.14,0.127,1.034,1.036,0.991,0.993
0.245,0.23,0.25,0.26,0.703,0.695,0.582,0.623,4.438,4.302,3.274,3.452,0.242,0.262,0.232,0.225,0.735,0.65,0.536,0.626,T0000015,4.13,19.652,20.037,15.85,14.796,19.0,18.2,12.6,13.95,0.24,0.221,0.213,0.215,0.72,0.729,0.728,0.72
0.235,0.255,0.24,0.255,0.75,0.578,0.716,0.549,4.416,3.386,4.252,3.238,0.25,0.235,0.245,0.245,0.959,0.631,0.785,0.594,T0000015,4.4,20.14,15.396,19.579,17.01,21.2,13.7,19.55,13.4,0.234,0.218,0.52,0.173,0.746,0.748,0.737,0.746
0.24,0.235,0.235,0.255,0.566,0.625,0.62,0.686,3.268,4.234,4.216,3.601,0.262,0.288,0.268,0.255,0.66,0.706,0.673,0.669,T0000015,4.07,16.402,18.727,19.817,12.693,14.0,17.05,15.95,13.95,0.207,0.184,0.224,0.172,0.678,0.693,0.686,0.694
0.23,0.25,0.235,0.245,0.631,0.534,0.503,0.59,4.519,3.452,3.273,4.182,0.275,0.245,0.258,0.262,0.798,0.578,0.419,0.627,T0000015,4.1,18.732,14.052,15.53,18.43,18.75,14.0,11.45,16.5,0.247,0.264,0.257,0.276,0.721,0.73,0.728,0.721
0.26,0.25,0.255,0.272,0.662,0.757,0.621,0.674,3.805,3.987,4.295,3.272,0.25,0.238,0.25,0.235,0.562,0.902,0.817,0.75,T0000015,4.09,14.958,16.598,18.873,16.969,13.95,19.55,18.5,14.5,0.192,0.248,0.179,0.259,0.713,0.764,0.598,0.837
0.225,0.23,0.23,0.245,0.402,0.517,0.394,0.399,1.97,2.334,2.388,2.344,0.162,0.165,0.205,0.228,0.36,0.42,0.417,0.369,T0000016,3.7,10.003,10.065,11.187,10.796,5.6,7.1,7.1,6.8,0.196,0.246,0.235,0.198,0.435,0.45,0.511,0.5
0.24,0.25,0.25,0.255,0.372,0.43,0.371,0.436,2.195,2.475,2.149,2.393,0.2,0.21,0.182,0.205,0.362,0.445,0.293,0.413,T0000016,3.4,10.443,11.466,9.177,9.522,6.5,8.6,5.6,6.5,0.179,0.203,0.221,0.239,0.41,0.298,0.542,0.312
0.26,0.252,0.25,0.26,0.464,0.523,0.435,0.401,2.479,2.435,2.456,2.48,0.198,0.175,0.167,0.192,0.392,0.474,0.394,0.369,T0000016,3.47,11.206,10.061,8.76,8.184,7.1,8.9,7.1,5.6,0.305,0.765,0.196,0.237,0.257,0.402,0.659,0.462
0.23,0.235,0.228,0.235,0.656,0.583,0.6,0.532,3.147,3.385,3.064,3.245,0.18,0.198,0.18,0.19,0.473,0.563,0.568,0.591,T0000017,4.55,11.704,16.17,11.65,10.694,10.1,10.7,10.7,10.1,0.344,0.191,0.231,0.286,0.694,0.906,0.512,0.561
0.23,0.225,0.24,0.23,0.657,0.559,0.581,0.633,3.599,3.311,3.185,3.318,0.185,0.19,0.165,0.172,0.734,0.662,0.727,0.641,T0000017,4.78,17.047,13.516,11.536,14.241,12.5,11.9,11.3,10.7,0.233,0.207,0.287,0.275,0.962,0.957,0.629,0.345
0.268,0.23,0.25,0.305,0.579,0.417,0.552,0.598,2.762,3.314,3.038,3.516,0.2,0.232,0.28,0.255,0.364,0.561,0.323,0.451,T0000017,2.93,11.397,14.696,11.605,13.584,9.5,10.4,9.5,11.0,0.251,0.19,0.239,0.22,0.382,0.453,0.715,0.774
0.225,0.228,0.22,0.23,0.634,0.703,0.709,0.695,2.998,3.352,3.314,3.32,0.18,0.155,0.18,0.17,0.645,0.62,0.64,0.76,T0000017,4.91,16.336,11.753,14.306,14.876,10.7,11.3,11.6,12.2,0.202,0.326,0.239,0.227,0.678,0.653,0.635,0.329
0.23,0.23,0.228,0.235,0.727,0.731,0.559,0.691,3.408,3.126,3.154,3.375,0.175,0.182,0.18,0.175,0.522,0.504,0.752,0.561,T0000017,4.65,15.166,14.285,14.51,14.308,10.7,10.7,11.9,10.7,0.183,0.305,0.18,0.222,0.889,0.323,0.602,0.376
0.225,0.23,0.235,0.232,0.737,0.828,0.683,0.699,3.32,3.38,3.611,3.322,0.167,0.162,0.175,0.155,0.705,0.675,0.84,0.917,T0000017,5.33,15.362,14.778,17.26,12.632,11.6,12.2,11.3,11.9,0.229,0.247,0.213,0.269,0.351,1.026,0.703,0.504
0.31,0.315,0.305,0.422,1.0,1.092,0.939,0.918,4.803,5.107,4.549,4.592,0.26,0.35,0.23,0.24,0.902,0.773,0.892,0.92,T0000018,5.32,30.042,29.812,26.382,30.107,27.0,27.3,24.7,25.9,0.181,0.174,0.195,0.192,1.28,1.526,1.0,1.265
0.258,0.31,0.3,0.42,0.933,1.108,0.887,1.013,4.31,4.653,4.482,5.413,0.255,0.36,0.24,0.275,0.778,0.707,0.859,0.82,T0000018,5.02,23.777,25.652,24.159,31.152,20.7,25.9,19.0,28.2,0.152,0.181,0.163,0.165,0.666,0.95,0.718,1.476
0.395,0.32,0.308,0.315,0.809,0.895,0.992,1.098,4.981,4.694,4.806,4.594,0.26,0.308,0.3,0.468,1.03,0.757,0.782,0.506,T0000018,4.85,31.651,24.041,29.923,27.362,24.7,23.0,24.7,24.7,0.137,0.22,0.16,0.223,1.182,0.886,1.252,0.978
0.215,0.225,0.23,0.22,0.522,0.56,0.56,0.521,2.556,2.935,2.63,2.39,0.168,0.16,0.15,0.158,0.518,0.62,0.609,0.528,T0000019,3.95,12.32,12.468,11.07,11.192,8.5,9.0,9.0,7.75,0.266,0.27,0.244,0.222,0.467,0.511,0.5,0.459
0.225,0.218,0.23,0.23,0.471,0.468,0.499,0.494,2.601,2.679,2.573,2.4,0.175,0.17,0.165,0.168,0.416,0.581,0.582,0.498,T0000019,3.59,14.842,13.666,9.95,10.616,8.0,9.0,8.5,8.5,0.259,0.176,0.232,0.196,0.474,0.474,0.449,0.475
0.265,0.25,0.265,0.26,1.391,1.152,1.024,1.193,3.941,4.628,3.614,4.835,0.155,0.195,0.178,0.19,1.388,1.1,0.954,1.44,T0000020,5.98,22.114,24.898,22.914,24.793,16.5,21.7,15.4,23.6,0.174,0.177,0.137,0.162,0.89,0.839,0.83,0.857
0.312,0.282,0.3,0.33,1.655,1.476,1.0,1.48,4.386,5.285,4.164,4.721,0.15,0.17,0.178,0.158,1.447,1.451,1.315,1.555,T0000020,6.1,19.411,27.88,23.433,24.654,18.1,25.2,18.1,26.35,0.233,0.179,0.188,0.205,0.918,0.9,1.087,1.054
0.265,0.27,0.27,0.258,1.343,0.999,1.02,1.268,4.735,3.67,3.675,4.518,0.188,0.19,0.185,0.195,1.206,1.036,0.782,1.13,T0000020,5.07,28.521,21.376,20.37,22.474,24.15,13.45,13.7,22.5,0.164,0.234,0.244,0.205,0.781,0.709,0.822,0.8
0.27,0.27,0.262,0.232,1.349,0.931,1.345,1.239,4.008,3.663,4.182,4.535,0.145,0.178,0.175,0.185,1.346,0.901,1.323,1.03,T0000020,5.93,19.839,21.01,20.391,25.187,16.5,15.1,16.5,24.2,0.17,0.173,0.499,0.162,0.83,1.177,0.838,0.758
0.29,0.29,0.295,0.28,1.274,0.939,1.035,1.487,4.202,4.362,4.2,5.182,0.18,0.192,0.175,0.175,1.002,1.286,1.164,1.587,T0000020,5.43,21.265,22.794,22.658,24.751,15.4,19.5,17.55,28.0,0.245,0.199,0.207,0.253,0.808,0.978,0.881,0.939
0.225,0.232,0.24,0.23,0.549,0.556,0.498,0.618,3.488,3.423,3.622,3.203,0.238,0.235,0.242,0.21,0.609,0.595,0.575,0.584,T0000021,3.36,19.383,14.029,20.47,14.556,13.65,12.8,12.5,12.8,0.155,0.235,0.173,0.188,0.534,0.33,0.483,0.518
0.245,0.225,0.22,0.232,0.569,0.576,0.54,0.528,3.515,3.618,3.352,3.669,0.213,0.255,0.24,0.225,0.643,0.64,0.59,0.61,T0000021,3.42,13.602,21.691,17.846,19.658,12.2,14.0,13.4,14.0,0.304,0.175,0.197,0.197,0.559,0.556,0.247,0.612
0.255,0.25,0.25,0.275,0.4,0.362,0.506,0.415,3.327,3.338,3.306,3.384,0.395,0.4,0.342,0.412,0.341,0.409,0.361,0.411,T0000021,2.0,12.337,20.303,14.266,20.247,9.3,12.2,10.5,12.25,0.213,0.198,0.16,0.237,0.475,0.474,0.476,0.491
0.21,0.185,0.188,0.2,0.842,0.676,0.794,0.836,3.342,3.464,3.382,3.47,0.143,0.155,0.145,0.14,1.112,0.958,0.903,1.033,T0000022,3.79,10.288,12.003,11.112,8.926,11.6,11.9,12.5,12.2,0.345,0.233,0.244,0.306,0.502,0.492,0.408,0.394
0.17,0.2,0.2,0.205,0.579,0.786,0.669,0.631,3.354,3.076,3.019,3.21,0.162,0.125,0.13,0.148,0.95,0.788,0.896,0.845,T0000022,3.87,12.038,8.992,10.146,10.753,10.4,9.8,9.5,10.4,0.527,0.323,0.56,0.308,0.526,0.484,0.506,0.536
0.215,0.205,0.205,0.215,0.868,0.913,0.768,0.983,3.56,3.774,3.851,3.63,0.14,0.135,0.135,0.13,1.002,1.131,1.238,1.062,T0000022,4.85,10.39,10.329,12.449,8.349,12.5,11.9,14.3,12.5,0.343,0.36,0.28,0.376,0.368,0.57,0.524,0.459
